"s","cik"
"http://dbpedia.org/resource/General_Electric",40545
"http://dbpedia.org/resource/Vodafone",47217
"http://dbpedia.org/resource/Intel_Corporation",50863
"http://dbpedia.org/resource/RadioShack",96289
"http://dbpedia.org/resource/Electronic_Arts",712515
"http://dbpedia.org/resource/3Com",738076
"http://dbpedia.org/resource/Cisco_Systems",858877
"http://dbpedia.org/resource/SanDisk",1000180
"http://dbpedia.org/resource/Fairchild_Semiconductor",1036960
"http://dbpedia.org/resource/Nortel",1119664
"http://dbpedia.org/resource/TopCoder",1156077
