entity_code;filing_accession_number
0001080224;0001193125-09-060521
0001002638;0001002638-09-000023
0001031296;0001031296-09-000011
0001070412;0001193125-09-088639
0001080224;0001193125-09-111401
0000108772;0001193125-09-094508
0001124198;0001104659-09-031513
0001164727;0000891618-09-000150
0001316631;0001193125-09-100014
0001335793;0001193125-09-088631
0001349436;0000950134-09-009913
0000013610;0000950123-09-008550
0001365135;0001193125-09-096522
0001407703;0001031296-09-000011
0000020947;0001031296-09-000011
0000277948;0000277948-09-000066
0000029669;0001193125-09-101639
0000352049;0001031296-09-000011
0000038074;0000038074-09-000029
0000053456;0001031296-09-000011
0000065350;0001031296-09-000011
0000073960;0001031296-09-000011
0000769397;0001193125-09-124260
0000077227;0001031296-09-000011
0000780571;0000780571-09-000024
0000796343;0000796343-09-000021
0000796343;0000796343-09-000026
0000831259;0000831259-09-000047
0000086144;0001193125-09-101273
0000883984;0001104659-09-025790
0000884905;0001193125-09-091929
0000901491;0001104659-09-029605
0000092380;0000092380-09-000018
0000093410;0000891618-09-000166
0001000697;0000950123-09-031677
0001001039;0001193125-09-159667
0001001082;0000950123-09-032467
0001001838;0001104659-09-046536
0001002638;0001193125-09-179839
0001002910;0001193125-09-170432
0001004440;0001047469-09-007384
0001004980;0001004980-09-000057
0000100826;0001193125-09-170432
0000100885;0001193125-09-154939
0001010775;0001193125-09-168068
0001011006;0001193125-09-169110
0001013871;0000950123-09-037848
0001014473;0001193125-09-167317
0000101778;0001140361-09-019899
0000101829;0001193125-09-154417
0000101830;0001193125-09-163726
0001018724;0001193125-09-154174
0001018963;0000950123-09-038497
0001021860;0000950123-09-032328
0001022079;0000930413-09-003869
0001022646;0000950123-09-029387
0001022671;0001104659-09-048161
0001023131;0001104659-09-046901
0001024478;0000950123-09-029309
0001031296;0001031296-09-000021
0001032033;0000950123-09-030360
0001032208;0000086521-09-000047
0000103379;0000950123-09-033506
0001035002;0000950123-09-031901
0001035267;0001193125-09-154009
0001037016;0000950123-09-030389
0001037540;0001193125-09-167264
0001037676;0000950123-09-031842
0001037868;0000950123-09-030415
0001037949;0001047469-09-007075
0001037949;0001047469-09-006994
0001038357;0001193125-09-172858
0001039101;0000950123-09-029495
0001039684;0001039684-09-000053
0000104169;0001193125-09-189177
0001043121;0001193125-09-167276
0001043219;0001157523-09-005715
0001043277;0001193125-09-170159
0001043604;0000950123-09-032159
0000010456;0000950123-09-026402
0001045810;0001045810-09-000024
0001047122;0001193125-09-153752
0001047862;0001193125-09-163543
0001048286;0001193125-09-150935
0001048911;0000950123-09-044076
0001050915;0000950123-09-032827
0001051470;0001193125-09-183869
0001053112;0001104659-09-048741
0001053112;0001104659-09-052668
0001053507;0001193125-09-167155
0001054374;0000950123-09-024912
0001056239;0000950123-09-029495
0001058057;0001193125-09-190034
0001058290;0001193125-09-168966
0001059324;0001193125-09-163743
0001059556;0001193125-09-176059
0001060391;0000950123-09-031596
0001061219;0001061219-09-000078
0001063761;0001104659-09-053343
0001064728;0000950123-09-031817
0001065088;0001193125-09-157212
0001065280;0001193125-09-160729
0000106535;0001193125-09-169473
0001066107;0000950123-09-032414
0001067983;0001157523-09-005813
0001070412;0001193125-09-161835
0001070423;0001104659-09-048036
0001070750;0001193125-09-156720
0000107263;0000950123-09-038339
0000010795;0000950123-09-032660
0001080224;0001193125-09-174453
0001086195;0000950123-09-031164
0001086222;0001193125-09-187772
0000108772;0001193125-09-162284
0001090012;0000950123-09-030946
0001090727;0001193125-09-169068
0000109198;0000950123-09-039364
0001094093;0001094093-09-000184
0001099219;0000950123-09-029190
0001099534;0001047469-09-007345
0001103982;0001193125-09-164943
0001105705;0000950123-09-026632
0001108524;0001193125-09-180950
0001109357;0001193125-09-154888
0001113169;0000950123-09-025178
0001121788;0001144204-09-046684
0001122304;0001122304-09-000091
0001124198;0001104659-09-048635
0001126294;0000950123-09-028717
0001126328;0001104659-09-047410
0001130310;0001130310-09-000035
0001130385;0000950123-09-030200
0001133421;0000950123-09-024563
0001134016;0001047469-09-007343
0001135152;0001193125-09-168553
0001135361;0001193125-09-170432
0001135971;0001193125-09-167151
0001136869;0000950123-09-035693
0001136893;0000950123-09-030426
0001137411;0001144204-09-043912
0001137774;0001193125-09-169081
0001140859;0000950123-09-030790
0001141391;0001193125-09-159733
0001141982;0000950123-09-030911
0001144519;0001104659-09-048657
0001156039;0001193125-09-158214
0001156375;0001193125-09-187481
0001158659;0000930413-09-003976
0001163165;0000950123-09-029713
0001163302;0001193125-09-156797
0001163739;0000950123-09-028453
0001164727;0000950123-09-024448
0001166126;0001166126-09-000048
0001166691;0001193125-09-166759
0001168054;0001104659-09-048135
0001168165;0001193125-09-154888
0001169055;0000950123-09-032022
0001170650;0000950123-09-027011
0001174746;0000950123-09-030284
0001222333;0000950123-09-041558
0001234307;0001047469-09-007315
0001234308;0001047469-09-007315
0000012659;0000950123-09-041361
0001267238;0001193125-09-165642
0001274057;0001104659-09-045366
0001274494;0001274494-09-000019
0001275283;0000950123-09-028069
0001276520;0001193125-09-160870
0001281761;0001193125-09-165503
0001282266;0001193125-09-166917
0001288776;0001193125-09-163845
0000012927;0001193125-09-152905
0001306830;0000950123-09-027072
0001310243;0001310243-09-000085
0001316631;0001193125-09-163901
0001324404;0001104659-09-047214
0001324404;0001047469-09-007107
0001326160;0001193125-09-168607
0001326380;0000950123-09-042090
0001335793;0001193125-09-161831
0001339947;0001193125-09-156564
0001341439;0001193125-09-195193
0001345111;0001193125-09-167378
0001349436;0000950123-09-031224
0001355096;0001047469-09-007370
0001357615;0001140361-09-017252
0000013610;0000950123-09-029565
0001364742;0001193125-09-168969
0001365135;0001193125-09-163822
0001368007;0001193125-09-168490
0001373835;0001193125-09-168965
0001378946;0001193125-09-170393
0001385157;0001047469-09-007070
0001385187;0001193125-09-159615
0001390777;0001193125-09-169196
0001393311;0001393311-09-000025
0001396009;0000950123-09-030370
0001403161;0001193125-09-159678
0001407703;0001031296-09-000021
0001413329;0001193125-09-175285
0001424847;0000950123-09-027485
0000014272;0001193125-09-153889
0001437107;0000950123-09-029613
0001451505;0001451505-09-000083
0001453090;0000950123-09-040151
0001458891;0000950123-09-032022
0001466258;0001193125-09-166979
0000001800;0001104659-09-048013
0000018230;0000018230-09-000331
0000018651;0001193125-09-170432
0000018654;0001193125-09-170432
0000019617;0000950123-09-032832
0000200406;0000950123-09-029672
0000020171;0000950123-09-032665
0000203077;0000950123-09-034092
0000203527;0001193125-09-171667
0000020947;0001031296-09-000021
0000021344;0001047469-09-007013
0000216228;0000950123-09-028851
0000021665;0001140361-09-017288
0000217346;0000217346-09-000117
0000022606;0001193125-09-154888
0000023082;0000023082-09-000045
