entity_code;standard_industrial_classification
0000882289;8082
0001433995;6221
0001315756;3640
0001013880;7363
0001346980;1311
0000884650;7370
0001438650;3990
0001423723;2050
0000805993;6500
0001093677;1000
0001325460;8742
0001365160;7600
0000314489;6022
0000888491;6798
0001413909;7822
0001159154;4512
0000855658;3674
0000913144;6331
0001080657;6798
0001373024;1090
0001354217;3845
0000934547;6035
0001424415;7389
0000016058;7373
0001470915;1000
0001306830;2820
0000038079;1311
0001469822;6798
0001105705;7812
0000800240;5940
0001168663;3751
0001302028;3559
0000078239;2320
0000903127;6798
0000785956;2052
0001507718;1000
0001008848;2836
0000319687;4512
0001013934;8200
0001499735;1311
0000804154;3690
0001280058;7372
0001018399;6022
0000899460;2834
0001406796;3841
0001510030;6770
0001434485;7363
0001502034;5400
0001260221;3728
0001124608;2835
0000764402;6022
0001169445;7371
0000845818;7373
0001467560;6770
0001032208;4924
0000099250;4922
0000857737;3140
0000744187;2860
0000885975;7830
0001137204;3669
0000944792;6022
0000064996;6331
0001171500;6331
0001507103;5990
0001442741;6022
0000893847;6021
0001069799;3585
0000069891;2086
0001487252;8742
0001497920;6770
0001441551;7380
0001080360;3490
0001108046;2860
0000945841;5090
0000811808;6022
0000026780;3714
0000200155;4922
0000317891;3861
0000065172;6795
0001492869;6798
0000927653;5122
0000918160;3312
0000051548;7948
0001297336;7311
0000763744;3714
0000783324;1040
0001450524;1000
0001140102;7363
0001393463;2833
0001510871;3310
0001145197;3841
0001077561;7389
0000859222;6022
0000857501;6351
0001374845;1311
0001294476;1311
0000826773;4812
0000911503;6221
0001392522;3674
0001122108;3550
0001341319;4813
0001096296;1000
0000722648;6500
0000900017;8742
0000892822;2835
0001158838;3674
0000768251;3674
0001013871;4911
0001428397;7310
0000106618;3470
0001095315;7389
0000756894;1040
0001497632;6770
0001016470;6794
0000914398;3679
0001454007;1311
0000084748;2821
0001037189;6221
0001500554;6798
0001018281;3679
0001034088;7373
0001138301;6798
0001358071;1311
0001415016;7389
0001294154;7350
0000852564;3851
0001517008;-1
0001366649;7373
0000890447;4953
0000812348;6022
0001386164;6221
0001006424;6035
0001330820;6221
0001376231;7372
0001392694;1090
0000039047;5812
0001506302;7372
0001094285;3812
0000946155;6500
0001108645;1382
0001489137;1000
0000891103;5990
0001236275;7389
0000066382;2520
0000944739;3674
0001350420;2860
0001390844;3711
0001289505;6099
0001120970;1040
0001104252;3672
0001410087;6035
0001106644;2834
0001301081;2834
0001040570;4899
0000032689;4911
0000844887;7011
0001290476;6022
0001054833;6324
0000892832;6770
0000019002;2836
0001478259;6770
0000792977;2835
0001109553;1311
0000946647;6035
0001452476;4822
0001370544;2013
0001418780;3640
0001131227;4400
0001427925;2834
0001156784;7372
0001159281;8051
0001001171;6035
0000355804;6798
0000703604;5080
0001431959;7997
0001201792;8200
0000029669;2750
0001120370;3360
0001453086;5960
0001500497;6770
0001299139;3841
0001487202;5140
0000709283;3572
0001408299;7363
0001482361;7500
0000035214;2851
0001277902;6035
0001439299;5140
0000831327;2060
0001172480;2834
0001224951;1382
0000700863;6021
0001477776;3823
0001377145;1000
0001022469;2421
0001293283;6035
0001103090;3821
0001287151;2221
0001478176;3433
0001401835;1000
0001017491;2834
0000906193;3550
0001471092;6036
0000018937;3990
0000940332;3674
0001398004;7372
0001037390;100
0001090012;1311
0001487544;5051
0000873303;2834
0001035422;1040
0001500122;3841
0001018216;6532
0000201461;6021
0001413329;2111
0001292426;6200
0000702325;6021
0000884940;5651
0001006655;1311
0001289340;3845
0001086319;1311
0000854398;3571
0000704384;2834
0001401475;7363
0001398702;1000
0001408100;6500
0001482879;6221
0001187449;6411
0001093557;3841
0001421523;6770
0001408956;8200
0000907562;8731
0001324272;5812
0000835662;8200
0001042728;3841
0001212545;6022
0001156815;6513
0001393311;6798
0000067625;6798
0001483230;3843
0000892553;3443
0001069258;4899
0001055355;3841
0001077183;8734
0001397187;2300
0000729580;3677
0000864233;5812
0001070296;6035
0001050550;3674
0001011290;5331
0000733337;6153
0001036478;7389
0000835095;6513
0001163300;3576
0001399541;1311
0001078099;7310
0000730349;2024
0000831001;6021
0000025445;3490
0000879555;6513
0001012569;4922
0001125264;7359
0000013372;4911
0000040194;4922
0001040426;7371
0001070680;6035
0000354647;6022
0001082822;6500
0001050007;2833
0001445226;6770
0001299709;6035
0000865058;6311
0000048465;2011
0000882291;3826
0001373683;7310
0000072741;4911
0000701347;6022
0001157516;1381
0000822083;6022
0000813762;3714
0000073887;4522
0001256069;6798
0000754813;5912
0001383082;6221
0000801348;6500
0001424847;2111
0001499324;6770
0001084765;7389
0001437107;4841
0000006732;2836
0001349976;1381
0001083944;7389
0000819220;2750
0001016178;6035
0001355855;6035
0000803014;3661
0001089143;7389
0000065100;6211
0001505361;6770
0000809248;5812
0001110903;7372
0001488934;800
0001115975;7330
0000847464;2834
0001047699;2834
0001364250;6798
0001200375;2860
0001482179;3572
0001440799;7819
0000877212;3560
0001337885;5961
0000750556;6021
0001402328;8742
0001479681;7389
0001505892;7812
0000047307;3823
0000734543;6331
0000719581;6500
0001113169;6200
0000812306;2834
0001515275;7374
0001229146;6022
0000054681;3559
0000916459;3560
0000074818;3679
0001063197;3714
0000766792;3559
0000880115;1311
0000050471;7374
0001302707;4400
0001137855;1040
0000763532;3640
0000104777;4813
0000885551;3690
0001072806;6500
0001116521;3661
0001114200;3842
0001444177;5900
0001413797;3841
0000042228;2090
0001466815;2741
0000719955;5700
0001129920;6021
0001412130;7370
0000036047;7374
0000078128;4941
0001414628;7389
0000716778;3829
0000352915;8062
0001361103;8731
0001224950;1382
0000883241;7372
0000884713;2086
0001365022;8000
0000873364;2834
0000875159;6331
0001051114;7389
0000084246;6331
0000700764;1311
0001089638;7371
0000748790;100
0000822663;2844
0000814046;1531
0001140303;7361
0000731859;6799
0001084067;6513
0001381805;6770
0001431888;3580
0001113513;7372
0001094810;6022
0001120792;6153
0001138724;2320
0000063754;2090
0000834071;6141
0001510839;6770
0000895648;6798
0000354869;6021
0001289550;3640
0001526689;-1
0000225211;3661
0000902791;7363
0001373149;6552
0001056386;7370
0000850606;6035
0001363958;6141
0001126328;6321
0000904978;8051
0000058822;3841
0000095304;2911
0001119897;6770
0001172724;1040
0001399480;1520
0000097476;3674
0001292556;2890
0000806592;2834
0001392486;6770
0001365038;7374
0001067701;7359
0000818677;6035
0001433607;3841
0000926423;7359
0001109879;7373
0000875357;6021
0001493040;7374
0001090727;4210
0001439446;3312
0001108205;2836
0001010612;7373
0001316625;3571
0001096752;3690
0001441082;1000
0000861878;4955
0000004127;3674
0000203596;6021
0000758938;3695
0001077866;7374
0000746514;6513
0001395205;1311
0000089800;5200
0000812301;3842
0001024520;3845
0000876134;7372
0001058290;7371
0001452583;4911
0001418862;2860
0001031233;6021
0001443863;2860
0001330399;6111
0000355766;2221
0001113313;9995
0000937556;3845
0001092699;7372
0001471256;2020
0001490381;1040
0000879993;2834
0001156041;1311
0001499875;6798
0001206264;2510
0001173431;6211
0001083643;6022
0001124827;4731
0000724606;5812
0001403674;1000
0000842013;7372
0001381668;6035
0000040545;3600
0001451980;2834
0001175454;7389
0000906163;1531
0001375320;6036
0000890926;6351
0000798783;6798
0001067873;3728
0001170816;2842
0001338520;7373
0001043509;5500
0000926617;2835
0000885988;8011
0001317639;5065
0001403132;2834
0000717724;5621
0000859139;6311
0000094784;2834
0000716643;7200
0001440292;6798
0000006207;6500
0000069671;5140
0001166365;2670
0001383055;6221
0000056978;3674
0000847384;1311
0001014111;3695
